--------------------------------------------,,,,,,,,,
Linear Kernel - samples combined,,,,,,,,,
--------------------------------------------,,,,,,,,,
C,in,out,in,out,in,out,avg-in,avg-out,
25,3**-7,91.83%,89.13%,93.15%,89.40%,92.49%,89.27%,,
25,3**-5,82.85%,82.80%,80.37%,79.27%,81.61%,81.04%,,
25,3**-3,24.25%,22.93%,11.83%,10.40%,18.04%,16.67%,,
25,3**-1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**0,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**3,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**5,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**7,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
40,3**-15,99.70%,89.86%,60.50%,59.06%,80.10%,74.46%,,
40,3**-14,18.15%,16.93%,99.13%,90.20%,58.64%,53.57%,,
40,3**-13,99.93%,90.13%,96.00%,90.06%,97.97%,90.10%,,
40,3**-12,86.31%,85.00%,99.51%,89.33%,92.91%,87.17%,,
40,3**-11,99.33%,89.66%,71.45%,71.93%,85.39%,80.80%,,
40,3**-10,99.73%,90.40%,99.30%,91.73%,99.52%,91.07%,,
40,3**-9,99.05%,91.13%,99.11%,92.53%,99.08%,91.83%,,
40,3**-8,72.98%,72.53%,96.70%,92.53%,84.84%,82.53%,,
50,3**-15,66.06%,66.86%,61.28%,60.40%,63.67%,63.63%,,
50,3**-14,99.75%,89.26%,56.48%,55.26%,78.12%,72.26%,,
50,3**-13,99.86%,90.33%,99.51%,89.93%,99.69%,90.13%,,
50,3**-12,99.83%,90.20%,58.80%,57.26%,79.32%,73.73%,,
50,3**-11,40.20%,41.26%,99.83%,91.33%,70.02%,66.30%,,
50,3**-10,88.78%,86.40%,95.98%,90.66%,92.38%,88.53%,,
50,3**-9,72.08%,73.80%,36.40%,35.86%,54.24%,54.83%,,
50,3**-8,34.28%,36.06%,96.78%,92.66%,65.53%,64.36%,,
50,3**-7,92.55%,89.73%,93.67%,89.60%,93.11%,89.67%,,
50,3**-5,85.10%,84.72%,83.97%,83.07%,84.54%,83.90%,,
50,3**-3,23.73%,22.20%,22.43%,20.27%,23.08%,21.24%,,
50,3**-1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
50,3**0,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
50,3**1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
50,3**3,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
50,3**5,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
50,3**7,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
75,3**-15,14.60%,13.46%,94.20%,89.26%,54.40%,51.36%,,
75,3**-14,66.71%,67.93%,46.41%,47.13%,56.56%,57.53%,,
75,3**-13,60.73%,59.66%,71.20%,71.26%,65.97%,65.46%,,
75,3**-12,78.46%,75.46%,99.91%,92.00%,89.19%,83.73%,,
75,3**-11,99.81%,91.40%,96.45%,91.73%,98.13%,91.57%,,
75,3**-10,18.33%,18.40%,99.85%,92.73%,59.09%,55.57%,,
75,3**-9,99.31%,91.93%,96.70%,92.40%,98.01%,92.17%,,
75,3**-8,10.16%,9.33%,97.55%,93.20%,53.86%,51.27%,,
100,3**-15,97.50%,91.06%,99.93%,92.60%,98.72%,91.83%,,
100,3**-14,74.98%,76.20%,90.98%,88.40%,82.98%,82.30%,,
100,3**-13,78.96%,79.60%,54.76%,56.26%,66.86%,67.93%,,
100,3**-12,70.21%,71.73%,86.43%,85.06%,78.32%,78.40%,,
100,3**-11,9.78%,10.93%,75.60%,76.40%,42.69%,43.67%,,
100,3**-10,9.86%,10.73%,99.80%,93.33%,54.83%,52.03%,,
100,3**-9,10.15%,9.40%,99.26%,93.00%,54.71%,51.20%,,
100,3**-8,97.70%,91.46%,97.31%,93.40%,97.51%,92.43%,,
100,3**-7,93.75%,90.40%,94.10%,91.27%,93.93%,90.84%,,
100,3**-5,85.95%,86.27%,86.50%,85.13%,86.23%,85.70%,,
100,3**-3,24.03%,22.20%,16.13%,14.93%,20.08%,18.57%,,
100,3**-1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
100,3**0,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
100,3**1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
100,3**3,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
100,3**5,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
100,3**7,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
150,3**-15,64.80%,63.00%,43.01%,44.80%,53.91%,53.90%,,
150,3**-14,18.01%,17.60%,60.23%,59.46%,39.12%,38.53%,,
150,3**-13,81.35%,82.00%,13.53%,14.20%,47.44%,48.10%,,
150,3**-12,99.90%,91.60%,66.41%,65.86%,83.16%,78.73%,,
150,3**-11,93.83%,89.33%,88.41%,85.06%,91.12%,87.20%,,
150,3**-10,99.16%,92.53%,13.83%,12.66%,56.50%,52.60%,,
150,3**-9,86.56%,84.80%,70.48%,71.46%,78.52%,78.13%,,
